+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                           ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; SEG_NUM|Addent_1_BCD                                                            ; 12    ; 5              ; 0            ; 5              ; 16     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SEG_NUM                                                                         ; 30    ; 0              ; 0            ; 0              ; 42     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; FUNCTION_SELECT                                                                 ; 5     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Multi_5bits                                                                     ; 18    ; 0              ; 6            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ADDER                                                                           ; 18    ; 0              ; 6            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_CONTROLLER|SDR_DATA                                                 ; 33    ; 0              ; 11           ; 0              ; 16     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_CONTROLLER|SDR_CMD                                                  ; 96    ; 0              ; 11           ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_CONTROLLER|SDR_CTRL                                                 ; 26    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_CONTROLLER                                                          ; 92    ; 0              ; 0            ; 0              ; 39     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|wrfull_eq_comp    ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rdempty_eq_comp   ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|ws_dgrp|dffpipe8  ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|ws_dgrp           ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rs_dgwp|dffpipe5  ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rs_dgwp           ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rs_bwp            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rs_brp            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|fifo_ram          ; 44    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rs_dgwp_gray2bin  ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated|rdptr_g_gray2bin  ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO|dcfifo_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|RD_FIFO                                                   ; 21    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|wrfull_eq_comp    ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|rdempty_eq_comp   ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|ws_dgrp|dffpipe16 ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|ws_dgrp           ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|ws_bwp            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|ws_brp            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|rs_dgwp|dffpipe12 ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|rs_dgwp           ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|fifo_ram          ; 44    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|wrptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|rdptr_g1p         ; 3     ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|ws_dgrp_gray2bin  ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated|wrptr_g_gray2bin  ; 12    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO|dcfifo_component|auto_generated                   ; 21    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL|WR_FIFO                                                   ; 21    ; 0              ; 0            ; 0              ; 27     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP|SDR_FIFO_CTRL                                                           ; 166   ; 0              ; 0            ; 0              ; 84     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TOP                                                                         ; 148   ; 125            ; 0            ; 125            ; 40     ; 125             ; 125           ; 125             ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; SDR_TEST                                                                        ; 13    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; PLL|altpll_component|auto_generated                                             ; 3     ; 2              ; 1            ; 2              ; 6      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; PLL                                                                             ; 2     ; 1              ; 0            ; 1              ; 4      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
